Name,Ownership Type,Phone Number,Address,City,County,Zip,Coordinates,State,Image,Regular hours,Saturday Openint TImes,Sunday Opening Times,24-Hour Service,Starbucks Reserve-Clover Brewed,Oven-Warmed Food,Free Wi-Fi,Verismo System,Mobile Payment,Digital Rewards,La Boulange,Fizzio Handcrafted Sodas,Drive-Thru,Link
Eastland Center - West Covina,Company Owned,626-915-1647,"2620 E. Workman Ave., 917911657  Los Angeles County, California",West Covina - Los Angeles County,Los Angeles County,917911657,"34.075356,-117.891695",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.075356,-117.891695&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:30 AM to 11:00 PM,5:30 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16283/us
Encino,Company Owned,(818) 986-9621,"17308 Ventura Blvd., 913163904  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913163904,"34.160776,-118.510383",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.160776,-118.510383&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:30 PM,5:00 AM to 10:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16036/us
Encino Market Place (B&N),Company Owned,(818) 906-3961,"16461A Ventura Blvd, 914364370  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,914364370,"34.157727,-118.491662",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.157727,-118.491662&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:30 AM to 11:00 PM,6:00 AM to 10:30 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15108/us
"Fair Oaks & Orange Grove, Pasadena",Company Owned,626-440-9962,"671 N. Fair Oaks Avenue, 911033383  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911033383,"34.157476,-118.151001",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.157476,-118.151001&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11049/us
Fair Oaks & State Street,Company Owned,626-441-7354,"454 North Fair Oaks Ave, 910301817  Los Angeles County, California",South Pasadena - Los Angeles County,Los Angeles County,910301817,"34.119822,-118.149884",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.119822,-118.149884&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,6:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16280/us
Fairfax & Olympic - Los Angeles,Company Owned,(323) 634-7845,"6066 West Olympic Boulevard, 900364402  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900364402,"34.057977,-118.363745",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.057977,-118.363745&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:00 AM to 11:00 PM,6:00 AM to 9:30 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14753/us
Fairoaks & California - Pasadena,Company Owned,(626) 395-0626,"556 S. Fair Oaks Avenue, 911052658  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911052658,"34.136273,-118.150208",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.136273,-118.150208&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16309/us
"Fairplex & I-10, Pomona",Company Owned,909-629-3194,"2101 Murchison Ave, 917681145  Los Angeles County, California",Pomona - Los Angeles County,Los Angeles County,917681145,"34.071462,-117.788214",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.071462,-117.788214&fov=90&heading=235&pitch=10",4:00 AM to 10:30 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/10981/us
"Fallbrook & Victory, Canoga Park",Company Owned,818-883-0567,"22815 Victory Blvd., 913073953  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913073953,"34.186874,-118.624358",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.186874,-118.624358&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:30 AM to 10:30 PM,5:30 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/9304/us
Farmers Market,Company Owned,(323) 965-9594,"6333 W. 3rd Street, 900363109  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900363109,"34.071758,-118.360775",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.071758,-118.360775&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 10:30 PM,6:30 AM to 9:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8832/us
Fashion Square,Company Owned,8189077516,"14006 Riverside Drive #24C, 914231945  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,914231945,"34.1566963195801,-118.437400817871",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.1566963195801,-118.437400817871&fov=90&heading=235&pitch=10",6:30 AM to 9:45 PM,7:30 AM to 10:15 PM,8:00 AM to 8:00 PM,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/1005762/us
Figueroa & Exposition,Company Owned,213-749-9302,"3584 S. Figueroa St., 90007  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90007,"34.0185890197754,-118.281768798828",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0185890197754,-118.281768798828&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:30 AM to 11:00 PM,5:30 AM to 11:00 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/91220/us
Figueroa & York,Company Owned,323-478-7365,"6240 York Ave., 90042  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,90042,"34.1148719787598,-118.18334197998",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.1148719787598,-118.18334197998&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/1006975/us
"Firestone & 605 Frwy, Norwalk",Company Owned,562-465-0148,"10716 Firestone Blvd, 906507412  Los Angeles County, California",Norwalk - Los Angeles County,Los Angeles County,906507412,"33.92523,-118.104988",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.92523,-118.104988&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16449/us
"Firestone & Garfield, Southgate",Company Owned,562-806-8009,"8620 Garfield Ave, 902803700  Los Angeles County, California",South Gate - Los Angeles County,Los Angeles County,902803700,"33.952159,-118.163922",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.952159,-118.163922&fov=90&heading=235&pitch=10",5:00 AM to 11:30 PM,5:00 AM to 1:00 AM,6:00 AM to 11:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/11165/us
"Firestone & Lakewood, Downey",Company Owned,562-861-6588,"9001 East Firestone Blvd., 902415317  Los Angeles County, California",Downey - Los Angeles County,Los Angeles County,902415317,"33.935787,-118.12338",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.935787,-118.12338&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,6:00 AM to 10:30 PM,6:00 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12429/us
"Firestone & Long Beach, Southg",Company Owned,323-569-0274,"8924 Long Beach Blvd., 902802808  Los Angeles County, California",South Gate - Los Angeles County,Los Angeles County,902802808,"33.955165,-118.219499",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.955165,-118.219499&fov=90&heading=235&pitch=10",4:30 AM to 12:30 AM,6:00 AM to 12:30 AM,6:00 AM to 12:30 AM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/13842/us
"Firestone & Pioneer, Norwalk",Company Owned,562-863-7138,"11790 Firestone Blvd., 906502899  Los Angeles County, California",Norwalk - Los Angeles County,Los Angeles County,906502899,"33.912413,-118.082182",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.912413,-118.082182&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:30 AM to 11:00 PM,5:30 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/17633/us
"Firestone & Studebaker, Norwalk",Company Owned,562-807-3715,"11031 Firestone Blvd., 906502244  Los Angeles County, California",Norwalk - Los Angeles County,Los Angeles County,906502244,"33.921684,-118.098342",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.921684,-118.098342&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/63031/us
"Flair & Aerojet, El Monte",Company Owned,626-280-0683,"9208 Flair Drive, 917312846  Los Angeles County, California",El Monte - Los Angeles County,Los Angeles County,917312846,"34.0716,-118.068059",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0716,-118.068059&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:00 AM to 10:30 PM,6:00 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/14168/us
"Foothill & Azusa, Azusa",Company Owned,626-334-7267,"118 W. Foothill Blvd., 917022524  Los Angeles County, California",Azusa - Los Angeles County,Los Angeles County,917022524,"34.133188,-117.907892",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.133188,-117.907892&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,5:30 AM to 10:30 PM,5:30 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8007/us
"Foothill & Boston, La Crescenta",Company Owned,818-541-7693,"3747 Foothill Boulevard, 912141700  Los Angeles County, California",La Crescenta - Los Angeles County,Los Angeles County,912141700,"34.237546,-118.261143",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.237546,-118.261143&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/17064/us
"Foothill & Claremont, CLaremont",Company Owned,909-625-5359,"665 E Foothill Blvd, 91711  Los Angeles County, California",Claremont - Los Angeles County,Los Angeles County,91711,"34.107633,-117.704047",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.107633,-117.704047&fov=90&heading=235&pitch=10",5:30 AM to 9:30 PM,5:30 AM to 9:30 PM,6:00 AM to 9:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8897/us
"Foothill & D Street, La Verne",Company Owned,909-593-1271,"2145 Foothill Blvd., 917502910  Los Angeles County, California",La Verne - Los Angeles County,Los Angeles County,917502910,"34.113182,-117.763584",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.113182,-117.763584&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,6:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/13796/us
Foothill & Grand - Glendora,Company Owned,(626) 852-0093,"459 W. Foothill Blvd., 917413363  Los Angeles County, California",Glendora - Los Angeles County,Los Angeles County,917413363,"34.136137,-117.871793",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.136137,-117.871793&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 9:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15110/us
Foothill & Myrtle - Monrovia,Company Owned,(626) 303-2986,"140 West Foothill Blvd., 910162175  Los Angeles County, California",Monrovia - Los Angeles County,Los Angeles County,910162175,"34.151145,-118.002447",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.151145,-118.002447&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/13363/us
Foothill & Wheeler- La Verne,Company Owned,909-392-3335,"1181 Foothill Boulevard, 917503328  Los Angeles County, California",La Verne - Los Angeles County,Los Angeles County,917503328,"34.119187,-117.781306",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.119187,-117.781306&fov=90&heading=235&pitch=10",4:00 AM to 11:30 PM,4:30 AM to 12:00 AM,5:00 AM to 11:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/11175/us
Forever 21 Corporate Headquarters,Licensed,213-741-8899,"3880 N Mission Rd, 900313138  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900313138,"34.0723266601563,-118.197601318359",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.0723266601563,-118.197601318359&fov=90&heading=235&pitch=10",,,,No,No,No,No,No,No,No,Yes,No,No,http://www.starbucks.com/store/94436/us
Fremont Ave & Mission Rd,Company Owned,,,Alhambra - Los Angeles County,Los Angeles County,918031326,"34.080427,-118.152128",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.080427,-118.152128&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,4:30 AM to 11:30 PM,4:30 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11815/us
Fullerton & Gale,Company Owned,6268391083,"18200 Gale Avenue, 91748  Los Angeles County, California",Industry - Los Angeles County,Los Angeles County,91748,"33.9948844909668,-117.907043457031",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.9948844909668,-117.907043457031&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/1005701/us
"Gaffey & 5th, San Pedro",Company Owned,310-519-3496,"438 S. Gaffey Ave, 907312436  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,907312436,"33.739891,-118.292107",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.739891,-118.292107&fov=90&heading=235&pitch=10",4:30 AM to 10:30 PM,4:30 AM to 10:30 PM,5:30 AM to 10:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/7009/us
"Gage & Compton, Huntington Park",Company Owned,323-585-1928,"1437 E. Gage Avenue, 900011789  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900011789,"33.982333,-118.248954",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.982333,-118.248954&fov=90&heading=235&pitch=10",5:00 AM to 12:00 AM,5:00 AM to 12:00 AM,6:00 AM to 12:00 AM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/8822/us
Galpin Motors - Jaguar Showroom,Licensed,818-892-3800,"15430 Roscoe Blvd., 91343  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,91343,"34.221031,-118.469056",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.221031,-118.469056&fov=90&heading=235&pitch=10",7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,9:00 AM to 6:30 PM,No,No,No,Yes,No,No,No,Yes,No,No,http://www.starbucks.com/store/12222/us
"Garey & Mission, Pomona",Company Owned,909-469-4721,"101 W. Mission Blvd., Suite 106, 917661709  Los Angeles County, California",Pomona - Los Angeles County,Los Angeles County,917661709,"34.055371,-117.750356",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.055371,-117.750356&fov=90&heading=235&pitch=10",5:30 AM to 9:30 PM,6:00 AM to 10:30 PM,6:30 AM to 9:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14243/us
Glendale,Company Owned,(818) 547-3694,"114 North Brand Blvd., 912034610  Los Angeles County, California",Glendale - Los Angeles County,Los Angeles County,912034610,"34.146645,-118.254853",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.146645,-118.254853&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 8:30 PM,6:00 AM to 8:30 PM,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16264/us
Glendale & Fletcher,Company Owned,323-913-3506,"2560 Glendale Blvd., 900393220  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900393220,"34.104119,-118.258942",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.104119,-118.258942&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,4:30 AM to 10:30 PM,4:30 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12246/us
"Glendale & Glenfeliz, Los Angeles",Company Owned,3236671457,"3111 Glendale Blvd, 900391841  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900391841,"34.116528,-118.262856",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.116528,-118.262856&fov=90&heading=235&pitch=10",5:30 AM to 8:30 PM,5:30 AM to 9:00 PM,5:30 AM to 8:30 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/10228/us
"Glendale & Wilson, Glendale",Company Owned,818-637-2749,"203-A North Glendale Avenue, 912064455  Los Angeles County, California",Glendale - Los Angeles County,Los Angeles County,912064455,"34.14831,-118.24649",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.14831,-118.24649&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,6:00 AM to 9:00 PM,6:30 AM to 7:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12754/us
"Glenoaks & Keeler, Burbank",Company Owned,818-260-9610,"2130 N Glenoaks Blvd, 915042827  Los Angeles County, California",Burbank - Los Angeles County,Los Angeles County,915042827,"34.19828,-118.326706",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.19828,-118.326706&fov=90&heading=235&pitch=10",5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,6:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/18145/us
"Glenoaks & Western, Glendale",Company Owned,818-244-9488,"1703 W. Glenoaks Blvd., 912011815  Los Angeles County, California",Glendale - Los Angeles County,Los Angeles County,912011815,"34.1714,-118.28968",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.1714,-118.28968&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11273/us
Golden Valley & Soledad Canyon,Company Owned,661-288-1354,"26585 Golden Valley Road, 91350  Los Angeles County, California",Santa Clarita - Los Angeles County,Los Angeles County,91350,"34.4183883666992,-118.502975463867",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.4183883666992,-118.502975463867&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/1006339/us
Granada Hills,Company Owned,(818) 360-9004,"16850 Devonshire Blvd, 913447404  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,913447404,"34.257362,-118.49916",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.257362,-118.49916&fov=90&heading=235&pitch=10",4:30 AM to 11:00 PM,4:30 AM to 11:00 PM,5:30 AM to 10:30 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12176/us
"Grand & Eucalyptus, El Segundo",Company Owned,3103350019,"310 E. Grand Avenue, 902453874  Los Angeles County, California",El Segundo - Los Angeles County,Los Angeles County,902453874,"33.919085,-118.41336",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.919085,-118.41336&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,6:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/10430/us
Greenleaf & Philadelphia - Whittier,Company Owned,(562) 789-9258,"6756 S. Greenleaf Avenue, 906014109  Los Angeles County, California",Whittier - Los Angeles County,Los Angeles County,906014109,"33.979247,-118.037187",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.979247,-118.037187&fov=90&heading=235&pitch=10",5:00 AM to 10:30 PM,6:00 AM to 11:00 PM,6:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/11489/us
"Gridley & South, Cerritos",Company Owned,562-653-0338,"11401 East South Street, 907036600  Los Angeles County, California",Cerritos - Los Angeles County,Los Angeles County,907036600,"33.858789,-118.090567",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.858789,-118.090567&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:30 AM to 12:00 AM,6:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/12416/us
"Hacienda & Valley, City of Industry",Company Owned,626-369-0946,"209 S. Hacienda Blvd, 917451104  Los Angeles County, California",Hacienda Heights - Los Angeles County,Los Angeles County,917451104,"34.020825,-117.958229",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.020825,-117.958229&fov=90&heading=235&pitch=10",4:30 AM to 11:30 PM,4:30 AM to 11:30 PM,6:00 AM to 11:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/12752/us
Hancock Park,Company Owned,323-469-1081,"206 North Larchmont, 900043707  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900043707,"34.074908,-118.323461",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.074908,-118.323461&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:30 AM to 10:00 PM,5:30 AM to 9:00 PM,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/9035/us
Hasley Canyon & Commerce Center,Company Owned,661-607-0395,"28050 Hasley Canyon Road, 91384  Los Angeles County, California",Castaic - Los Angeles County,Los Angeles County,91384,"34.4510192871094,-118.624664306641",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.4510192871094,-118.624664306641&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/1005608/us
Hastings Ranch,Company Owned,626-351-9994,"3699 E Foothill Blvd, 911072219  Los Angeles County, California",Pasadena - Los Angeles County,Los Angeles County,911072219,"34.150464,-118.073182",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.150464,-118.073182&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:00 AM to 10:30 PM,5:00 AM to 10:30 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/9030/us
"Hawthorne & Artesia, Torrance",Company Owned,310-921-2836,"17400 Hawthorne Boulevard, 905043109  Los Angeles County, California",Torrance - Los Angeles County,Los Angeles County,905043109,"33.872473,-118.352071",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.872473,-118.352071&fov=90&heading=235&pitch=10",4:30 AM to 12:00 AM,4:30 AM to 12:00 AM,5:00 AM to 11:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14869/us
Hawthorne & El Segundo Blvd,Company Owned,310-973-7334,"12770 Hawthorne Blvd, 902503949  Los Angeles County, California",Hawthorne - Los Angeles County,Los Angeles County,902503949,"33.916609,-118.352197",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.916609,-118.352197&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:30 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15026/us
"Hawthorne Blvd & 149th St, Lawndale",Company Owned,310-973-4079,"14828 Hawthorne Blvd, 902601525  Los Angeles County, California",Lawndale - Los Angeles County,Los Angeles County,902601525,"33.897064,-118.352165",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.897064,-118.352165&fov=90&heading=235&pitch=10",5:30 AM to 10:30 PM,5:30 AM to 10:30 PM,5:30 AM to 10:30 PM,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/11039/us
Health Science Campus - USC,Licensed,323-442-1943,"1969 Zonal Ave, 900335422  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900335422,"34.060375,-118.206808",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.060375,-118.206808&fov=90&heading=235&pitch=10",7:00 AM to 7:00 PM,Closed,Closed,No,No,Yes,Yes,No,No,No,Yes,No,No,http://www.starbucks.com/store/19140/us
"Hermosa & 13th, Hermosa Beach",Company Owned,310-406-8569,"1303 Hermosa Avenue, 902543560  Los Angeles County, California",Hermosa Beach - Los Angeles County,Los Angeles County,902543560,"33.863055,-118.40041",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.863055,-118.40041&fov=90&heading=235&pitch=10",5:00 AM to 9:00 PM,5:00 AM to 9:30 PM,5:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/14868/us
Hermosa Beach,Company Owned,(310) 372-7599,"1100 Pacific Coast Highway, 902543951  Los Angeles County, California",Hermosa Beach - Los Angeles County,Los Angeles County,902543951,"33.863931,-118.39163",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=33.863931,-118.39163&fov=90&heading=235&pitch=10",4:30 AM to 9:30 PM,4:30 AM to 10:00 PM,4:30 AM to 9:30 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/11586/us
